rq,name,verdict,primary_claim,detail
RQ1,2-Axis Circumplex-proxy discrimination of annotated MI quality,CONFIRMED ✓,True,"AUC=0.8162 [0.695,0.919]  MCC=0.543  BalAcc=0.781  d_CV=1.957  Perm-p=0.0000      [Surrogate: Cohesion/Flex = MI proxies; NOT FACES-IV. AUC floor ≥0.55 per Tanana et al. (2016) J. Subst. Abuse Treat.]"
RQ2,MI quality moderates empathy–Cohesion relationship  [PRIMARY],SUPPORTED ✓,True,"β_int=-0.7179  CI=[-1.170,-0.464]  ΔR²=0.1375  Fisher-z p=0.0012      [VIF max=4.83  ✓ VIF OK]"
RQ3,Topic domains differ in Cohesion proxy  [PRIMARY / CONFIRMATORY],CONFIRMED ✓,True,Cohesion [CONF]: F=2.804  p=0.0195  η²=0.0994  ω²=0.0640      [Communication [FUTURE WORK]: F=2.050  p=0.0761  η²=0.0747 — NOT primary claim; coverage=1.3%]
RQ4,Bayesian posterior improves over theory weights  [PRIMARY],SUPPORTED ✓,True,"Hold-out ΔAUC CI=[+0.0150,+0.1255]  p=0.0240  [In-sample CI=+0.0211,+0.0689 — biased, supplementary only]      [Dominant: wc_balance → PC3 (wc_balance-dominated, var=15.1%)]      ΔAUC posterior computed on same data used for MCMC likelihood → in-sample bias. Primary claim uses hold-out ΔAUC (CI=[+0.0150,+0.1255])."
RQ5,Interpretability premium: theory ≈ black-box on small N  [PRIMARY],SUPPORTED ✓,True,Circumplex=0.8162  Logistic(CV)=0.9083  LSTM[BCE]=0.5757  CF Δempathy=1.214 std      [LSTM near-random (AUC≈0.57) → interpretable proxy preferred on N=133]
SHAP,Dual-SHAP + LOFO: convergent feature importance,VALIDATED ✓,True,"ρ(Linear,Perm)=0.9860  Top LOFO (informative): empathy_rate (drop=+0.1194)  [6 informative, 6 noise/redundant]      [empathy_rate, negation_rate, wc_balance = consistent top-3 across SHAP methods]      [LOFO drop≤0 features are noise — removed from primary importance claims]"
DYN,Temporal rigidity markers differ by MI quality  [SECONDARY],INFORMATIVE ✓,True,transition_entropy: d=+0.416  emotional_inertia: d=-0.386  cohesion_volatility: d=-0.511  empathy_recovery_rate: d=+0.068
RQ6,2-Axis Circumplex zones → sensible robot intervention signals,VALIDATED ✓,True,"r(urgency,MI)=0.3498  p=0.0000  [2-axis urgency only]  w_empathy=0.2095 (Bayesian-updated)      [comm r=0.067 p=0.442 low as expected — Communication [FUTURE WORK]]"
§S,Hold-out weight generalisation (auxiliary sensitivity check),LIMITATION ⚠,True,Theory:  Train=0.8969  Test=0.6061  gap=+0.2909  ⚠      Learned: Train=0.9079  Test=0.7532  gap=+0.1546  ⚠      Both theory (gap=+0.2909) and learned (gap=+0.1546) weights show train-test instability on N=133. Theory weights preferred on parsimony grounds only. Weight-space is under-identified; N≥300 recommended for stable learning.
